Year,Route Count,Canada Goose,Mute Swan,Wood Duck,Gadwall,American Black Duck,Mallard,Blue-winged Teal,Northern Pintail,Green-winged Teal,Canvasback,Redhead,Ring-necked Duck,Common Goldeneye,Hooded Merganser,Common Merganser,Ruddy Duck,Northern Bobwhite,Gray Partridge,Ring-necked Pheasant,Ruffed Grouse,Spruce Grouse,Wild Turkey,Common Loon,Pied-billed Grebe,Double-crested Cormorant,American Bittern,Least Bittern,Great Blue Heron,Great Egret,Snowy Egret,Little Blue Heron,Cattle Egret,Green Heron,Black-crowned Night-Heron,Yellow-crowned Night-Heron,Glossy Ibis,Black Vulture,Turkey Vulture,Osprey,Bald Eagle,Northern Harrier,Sharp-shinned Hawk,Cooper's Hawk,Northern Goshawk,unid. Accipiter Hawk,Red-shouldered Hawk,Broad-winged Hawk,Red-tailed Hawk,unid. Buteo Hawk,Golden Eagle,American Kestrel,Merlin,Clapper Rail,Virginia Rail,Sora,Common Gallinule,American Coot,Piping Plover,Killdeer,American Oystercatcher,Spotted Sandpiper,Willet,Upland Sandpiper,Wilson's Snipe,American Woodcock,Laughing Gull,Ring-billed Gull,Herring Gull,Great Black-backed Gull,unid. Gull,Least Tern,Black Tern,Roseate Tern,Common Tern,Forster's Tern,Black Skimmer,Rock Pigeon,Mourning Dove,Yellow-billed Cuckoo,Black-billed Cuckoo,unid. Cuckoo,Eastern Screech-Owl,Great Horned Owl,Barred Owl,Long-eared Owl,Northern Saw-whet Owl,Common Nighthawk,Eastern Whip-poor-will,Chimney Swift,Ruby-throated Hummingbird,Belted Kingfisher,Red-headed Woodpecker,Red-bellied Woodpecker,Yellow-bellied Sapsucker,Downy Woodpecker,Hairy Woodpecker,Black-backed Woodpecker,(Yellow-shafted Flicker) Northern Flicker,Pileated Woodpecker,unid. Woodpecker,Olive-sided Flycatcher,Eastern Wood-Pewee,Yellow-bellied Flycatcher,Acadian Flycatcher,Alder Flycatcher,Willow Flycatcher,unid. Alder Flycatcher / Willow Flycatcher,Least Flycatcher,unid. Empidonax Flycatcher,Eastern Phoebe,Great Crested Flycatcher,Eastern Kingbird,Loggerhead Shrike,White-eyed Vireo,Yellow-throated Vireo,Blue-headed Vireo,Warbling Vireo,Philadelphia Vireo,Red-eyed Vireo,Gray Jay,Blue Jay,American Crow,Fish Crow,Common Raven,Horned Lark,Purple Martin,Tree Swallow,Northern Rough-winged Swallow,Bank Swallow,Cliff Swallow,Barn Swallow,Carolina Chickadee,Black-capped Chickadee,Boreal Chickadee,Tufted Titmouse,Red-breasted Nuthatch,White-breasted Nuthatch,Brown Creeper,Carolina Wren,House Wren,Winter Wren,Sedge Wren,Marsh Wren,Blue-gray Gnatcatcher,Golden-crowned Kinglet,Ruby-crowned Kinglet,Eastern Bluebird,Veery,Gray-cheeked Thrush,Swainson's Thrush,Hermit Thrush,Wood Thrush,American Robin,Gray Catbird,Northern Mockingbird,Brown Thrasher,European Starling,Cedar Waxwing,Ovenbird,Worm-eating Warbler,Louisiana Waterthrush,Northern Waterthrush,Golden-winged Warbler,Blue-winged Warbler,Brewster's Warbler (Golden-winged x Blue-winged),Black-and-white Warbler,Prothonotary Warbler,Tennessee Warbler,Nashville Warbler,Connecticut Warbler,Mourning Warbler,Kentucky Warbler,Common Yellowthroat,Hooded Warbler,American Redstart,Cape May Warbler,Cerulean Warbler,Northern Parula,Magnolia Warbler,Bay-breasted Warbler,Blackburnian Warbler,Yellow Warbler,Chestnut-sided Warbler,Blackpoll Warbler,Black-throated Blue Warbler,Palm Warbler,Pine Warbler,(Myrtle Warbler) Yellow-rumped Warbler,Prairie Warbler,Black-throated Green Warbler,Canada Warbler,Wilson's Warbler,Yellow-breasted Chat,Eastern Towhee,Chipping Sparrow,Clay-colored Sparrow,Field Sparrow,Vesper Sparrow,Savannah Sparrow,Grasshopper Sparrow,Henslow's Sparrow,Saltmarsh Sparrow,Seaside Sparrow,Song Sparrow,Lincoln's Sparrow,Swamp Sparrow,White-throated Sparrow,(Slate-colored Junco) Dark-eyed Junco,Scarlet Tanager,Northern Cardinal,Rose-breasted Grosbeak,Blue Grosbeak,Indigo Bunting,Dickcissel,Bobolink,Red-winged Blackbird,Eastern Meadowlark,Western Meadowlark,unid. Eastern Meadowlark / Western Meadowlark,Rusty Blackbird,Common Grackle,Boat-tailed Grackle,Brown-headed Cowbird,Orchard Oriole,Baltimore Oriole,Purple Finch,House Finch,Red Crossbill,White-winged Crossbill,Pine Siskin,American Goldfinch,Evening Grosbeak,House Sparrow
1976,88,70,9,43,0,11,123,5,0,2,0,0,0,0,0,0,0,63,0,415,14,0,2,3,1,0,5,0,54,0,0,0,0,75,1,0,0,0,11,0,0,3,2,1,0,0,9,15,55,0,0,131,0,1,0,0,1,0,0,653,0,33,0,19,30,3,0,96,131,0,0,0,0,0,0,0,0,1602,1293,14,44,0,1,2,3,0,0,0,2,394,26,69,7,10,59,173,63,0,507,20,0,14,304,4,0,87,210,3,496,0,434,296,385,0,1,57,126,256,0,1668,0,992,2597,0,4,64,143,498,35,463,72,2275,0,596,1,39,32,107,20,6,1430,137,0,3,5,31,34,49,578,0,37,97,1389,6004,1286,171,282,10876,680,471,3,7,24,24,35,0,102,0,2,84,0,53,0,1728,2,484,1,3,12,109,3,107,1285,550,0,84,0,5,157,15,127,47,0,2,507,1412,2,671,51,901,25,12,0,0,3642,0,119,475,164,274,724,429,0,649,0,930,12894,1070,0,0,1,4377,0,900,2,943,205,50,2,0,3,1821,19,3808
1977,91,197,13,38,0,12,261,8,0,0,0,0,0,0,11,3,0,56,0,344,10,0,5,3,3,0,4,1,47,0,11,0,0,58,11,1,0,0,11,0,0,5,4,2,0,1,6,15,60,0,0,143,0,0,1,0,1,0,0,533,0,32,0,9,14,10,0,182,72,1,0,1,0,0,1,0,0,1576,1410,19,29,0,0,7,9,0,0,1,3,383,23,68,16,13,96,194,47,2,438,29,0,10,314,1,0,105,176,0,542,1,267,294,368,0,0,72,80,217,1,1842,0,1012,3076,3,11,92,118,690,41,556,112,2510,0,614,0,60,90,127,7,5,997,43,2,7,4,11,3,41,802,0,44,80,1586,5835,1387,223,231,9815,703,574,3,11,16,13,47,0,127,1,1,31,0,53,0,1890,3,631,0,1,17,124,2,98,1208,583,1,95,0,6,114,13,117,48,1,5,542,1469,0,529,47,873,36,13,0,0,3548,6,116,560,148,323,772,439,0,621,0,1041,13133,832,0,0,6,5258,0,955,2,838,180,89,2,0,9,1651,7,3677
1978,88,254,7,21,0,32,288,1,0,0,0,0,0,0,0,1,0,36,0,269,10,0,1,2,8,0,3,1,58,0,5,0,0,42,4,0,0,0,13,1,0,4,1,4,0,0,12,21,80,0,0,141,0,0,0,1,2,1,0,523,0,23,0,17,21,4,0,418,114,1,0,0,2,0,3,0,0,1474,1239,24,64,0,1,4,6,0,0,1,3,289,13,47,9,18,103,146,61,0,360,30,0,11,269,0,1,86,161,0,361,0,282,271,386,0,2,71,91,243,2,1910,0,1106,2783,1,8,53,158,490,19,307,82,2269,0,605,2,75,22,103,18,4,1025,61,0,5,5,16,4,31,704,0,38,91,1376,5214,1218,223,216,7314,902,486,5,17,26,17,41,0,104,0,0,77,0,42,0,1820,11,540,2,2,16,113,2,103,1359,653,0,74,0,3,135,24,110,67,0,1,445,1455,1,424,51,705,25,4,0,0,3262,3,95,441,90,297,689,448,0,589,0,1022,10687,728,0,0,0,4352,0,860,4,920,159,160,1,0,1,1106,8,3667
1979,82,110,7,22,0,5,222,10,0,0,0,0,1,0,3,3,0,36,0,184,8,0,7,3,0,0,5,0,67,0,0,0,0,40,0,0,0,0,26,2,0,6,5,3,2,0,13,18,46,0,0,98,0,0,1,0,1,0,0,439,0,20,0,7,11,2,0,675,21,0,0,0,0,0,0,0,0,1435,1085,56,86,0,0,11,10,0,0,0,0,278,20,68,11,27,131,161,64,0,361,27,0,13,292,2,1,74,177,0,355,0,274,214,446,0,2,65,109,261,3,1817,0,898,2640,2,5,81,112,551,40,535,113,2122,0,734,0,47,80,102,9,0,915,63,0,0,5,24,4,29,741,0,65,79,1354,5419,1227,209,146,6268,831,410,3,16,12,27,60,1,101,0,2,60,0,54,0,1796,2,464,2,2,17,115,2,114,1245,444,0,87,0,0,147,17,135,67,0,0,314,1440,0,344,46,779,25,7,0,0,2964,1,67,420,80,333,531,442,0,536,0,850,9657,559,0,0,0,4224,0,794,0,841,165,95,0,0,5,1206,10,3317
1980,83,95,16,17,0,10,180,0,0,0,0,0,0,0,3,2,0,50,0,248,12,1,4,6,1,0,11,0,67,0,0,0,0,54,0,0,0,0,14,0,0,3,4,3,0,0,6,15,54,0,0,106,0,0,0,0,0,0,0,573,0,24,0,20,19,3,0,1085,22,0,0,0,0,0,0,0,0,1305,1391,63,62,0,0,7,5,0,0,2,2,311,31,57,7,15,166,242,63,0,314,32,0,13,308,3,0,113,223,0,437,0,323,285,437,2,1,70,151,305,5,1922,0,997,2563,0,13,73,100,603,30,614,100,2189,0,839,0,100,88,166,24,1,949,56,3,2,4,29,12,31,787,0,56,119,1333,5303,1250,225,160,7174,1148,552,5,22,20,15,59,0,138,0,0,79,0,72,0,1868,1,570,1,2,26,168,0,180,1473,584,0,145,0,2,241,21,171,83,1,2,338,1546,1,448,70,699,20,8,0,0,3033,2,88,504,116,357,601,535,0,611,0,1040,9472,806,0,0,0,3897,0,781,0,821,173,178,1,0,9,1321,12,3175
1981,86,226,38,22,0,29,253,3,0,0,0,0,1,0,0,1,0,81,0,256,9,0,3,3,1,0,18,0,73,0,14,1,0,43,13,2,0,0,17,4,0,6,6,1,4,0,9,6,51,0,0,141,0,2,0,0,0,2,0,486,0,20,0,26,51,5,0,567,157,0,0,11,0,0,3,0,0,1362,1558,50,69,0,1,5,5,0,0,1,1,297,18,76,5,12,131,211,81,0,353,33,0,16,299,0,1,82,184,0,410,0,311,280,516,1,2,62,81,284,0,1869,0,909,2763,2,14,109,49,656,37,529,96,2253,0,875,2,79,41,179,28,11,722,44,3,7,6,19,3,35,796,0,56,107,1336,4948,1194,303,159,8539,1078,586,10,15,12,14,68,1,119,0,0,84,0,52,0,1910,4,550,6,1,19,105,1,158,1566,612,0,123,0,3,151,31,134,82,0,0,385,1667,0,556,56,736,46,13,0,0,3438,3,122,461,110,380,641,509,0,642,0,1132,9283,907,0,0,3,4551,0,999,4,771,191,312,0,0,1,1483,0,4061
1982,77,104,16,21,0,9,111,0,0,0,0,0,0,0,2,6,0,46,0,253,21,0,2,2,0,1,3,0,71,1,0,0,0,38,3,0,0,0,8,7,0,8,1,4,0,0,3,9,67,0,0,89,0,0,0,0,0,0,0,399,0,9,0,14,42,5,0,380,25,1,0,0,0,0,0,0,0,1221,1283,46,70,0,0,10,3,0,0,0,2,284,20,40,6,15,88,163,51,1,320,16,0,17,262,1,0,102,190,0,387,0,174,288,399,1,0,59,110,297,1,1847,0,834,2520,4,5,105,62,582,37,777,115,2129,0,778,2,71,32,113,23,1,740,45,0,1,8,21,2,35,655,0,59,106,1078,4414,1122,218,124,6393,1166,488,2,12,13,17,45,0,111,0,0,80,0,59,0,1693,5,481,1,3,14,112,0,153,1286,499,1,84,0,3,212,15,148,82,2,0,287,1484,0,394,61,664,31,10,0,0,2727,6,104,404,155,332,599,515,0,509,0,895,7725,569,0,0,0,3837,0,662,5,693,147,241,3,5,1,1411,3,2852
1983,76,104,36,27,0,15,197,1,0,0,0,0,0,0,10,5,0,55,2,295,7,0,3,7,0,0,5,0,102,0,1,0,0,70,0,0,0,0,5,1,0,14,4,3,1,0,5,6,50,0,0,82,0,0,0,0,0,0,0,432,0,24,0,16,57,4,0,464,82,0,0,1,0,0,9,0,0,1007,1448,25,101,0,2,9,7,0,0,2,3,304,41,49,6,23,127,180,73,0,270,35,0,12,304,2,2,166,220,0,440,0,225,264,398,0,0,63,191,317,2,1844,0,1146,2637,2,14,124,80,454,36,447,119,1850,0,877,0,88,71,119,40,4,858,94,0,6,5,31,8,41,669,0,79,163,1066,4787,983,195,123,5911,986,587,5,18,25,28,93,0,178,0,1,109,0,90,1,1672,4,516,2,1,15,185,1,173,1508,575,0,128,0,1,225,36,196,78,2,3,326,1600,0,475,67,653,24,6,0,0,2569,4,139,588,174,354,767,543,0,624,0,1114,6728,610,0,0,3,3932,0,722,1,751,133,379,8,0,4,1394,6,2920
1984,71,109,32,13,0,8,138,1,0,0,0,0,0,0,0,2,0,40,0,205,6,0,3,2,0,4,6,0,79,0,4,0,0,51,1,0,0,0,28,1,0,6,1,1,2,0,16,16,48,0,0,69,0,1,1,3,1,0,0,412,0,19,0,19,32,15,0,565,42,0,0,0,0,0,1,0,1,1015,1280,15,33,0,0,8,2,0,0,0,4,259,24,41,4,18,119,154,60,0,190,32,0,7,243,1,1,143,169,0,460,0,218,281,367,0,0,43,168,310,1,1922,0,896,2410,0,12,92,88,443,23,406,101,1545,0,744,2,101,72,90,27,2,681,97,0,0,7,25,2,50,540,0,53,147,919,4169,916,181,97,6397,805,595,5,19,26,19,86,0,151,0,0,93,0,56,0,1471,2,534,0,2,25,131,3,161,1319,538,1,130,0,1,231,19,147,66,1,0,260,1427,0,365,81,585,9,9,0,0,2313,8,91,509,189,274,538,444,0,514,0,1033,5665,456,0,0,0,2970,0,579,1,792,146,372,3,0,6,1211,52,2261
1985,61,98,0,13,0,11,85,1,0,0,0,0,0,0,1,3,0,0,0,142,7,0,3,7,1,0,12,0,68,0,0,0,0,35,0,0,0,0,22,3,0,7,4,2,0,0,4,16,43,0,0,76,0,0,0,1,0,0,0,398,0,8,0,10,43,4,0,137,9,0,0,0,0,0,0,0,0,1058,1000,10,20,0,0,11,5,0,1,0,0,235,23,25,2,16,105,130,71,0,244,32,0,8,247,3,1,117,169,0,328,0,207,152,293,0,0,25,86,211,2,1283,0,610,2341,0,19,66,62,485,38,290,103,1548,0,513,0,59,59,104,24,3,574,43,1,3,2,13,4,47,560,0,47,145,859,4241,802,91,68,4838,721,517,6,16,24,18,46,0,132,0,0,67,0,59,0,1331,7,384,2,1,11,105,1,87,1088,347,0,73,0,2,164,14,113,40,0,1,197,1263,0,326,72,608,20,1,0,0,2282,7,97,407,161,210,505,312,0,372,0,873,4916,487,0,0,0,3102,0,526,1,442,121,369,1,0,36,1753,13,2076
1986,71,618,47,14,0,9,362,3,0,0,0,0,0,0,2,3,0,4,0,178,8,0,4,11,2,0,14,1,92,6,7,1,0,41,3,0,7,0,11,3,0,3,7,4,1,0,1,14,57,0,0,72,0,0,1,0,1,0,0,507,1,9,5,20,39,13,5,2059,195,2,0,6,0,0,54,0,2,1179,1355,14,39,0,1,15,1,0,0,2,1,258,25,39,6,29,106,191,54,0,266,25,0,12,229,2,2,125,259,0,347,0,262,230,370,0,0,34,142,220,0,1431,0,809,2756,10,34,99,65,571,46,473,99,1980,0,781,0,84,30,116,13,5,773,88,4,2,9,55,3,84,521,0,35,192,834,5035,852,155,75,8030,1199,473,5,14,17,14,55,0,107,0,0,44,0,40,0,1350,7,354,2,6,9,97,0,63,1208,356,0,62,0,7,147,18,79,39,1,0,186,1500,0,302,57,649,11,4,0,0,2589,2,98,412,106,228,662,297,0,438,0,952,5182,504,0,0,0,3581,0,674,0,448,158,691,1,0,6,1608,5,2572
1987,76,479,133,21,10,30,454,4,0,0,0,0,0,0,4,4,0,11,0,204,3,0,2,8,2,12,15,0,111,14,24,0,0,50,15,0,0,0,19,2,0,6,9,2,3,0,13,12,65,0,0,70,0,0,3,0,1,0,0,526,0,14,0,25,47,8,6,1201,296,12,0,2,0,0,2,0,3,1456,1430,8,39,0,0,6,2,0,0,2,0,307,33,46,4,38,118,228,100,1,269,47,0,5,320,4,1,136,277,0,400,0,373,219,396,0,1,40,190,291,3,2033,0,798,3005,18,30,82,45,611,49,454,168,1800,0,1075,0,132,84,169,37,3,941,144,0,13,15,72,6,83,584,0,41,217,1034,4960,1055,188,106,7124,1463,531,3,11,19,11,81,0,116,0,0,96,0,74,0,1521,11,503,0,6,13,109,0,106,1431,466,0,108,0,5,201,20,120,54,2,0,237,1727,0,296,47,765,19,3,0,0,2776,5,114,492,185,248,679,353,0,525,0,1009,5681,562,0,0,1,3994,0,821,2,479,139,1104,5,0,35,1730,61,2817
1988,75,210,40,16,0,5,213,11,0,0,0,0,0,0,1,12,0,16,0,306,7,0,12,5,1,8,8,0,133,1,4,0,0,45,0,0,0,0,36,7,0,22,7,3,1,0,6,13,74,0,0,97,0,0,3,1,1,1,0,480,0,27,0,11,29,3,0,1266,58,0,0,1,3,0,0,0,0,1668,1687,55,63,0,1,9,5,0,0,0,0,258,35,43,3,29,165,224,77,1,220,57,0,12,300,1,0,165,261,0,405,0,378,231,316,0,0,41,150,259,3,2080,2,847,3161,0,32,168,78,590,42,207,111,2095,0,1040,1,168,81,146,29,3,794,106,1,3,16,67,3,71,540,0,60,198,915,4821,906,176,65,6712,1008,605,8,12,25,15,79,1,108,0,0,56,0,62,0,1554,7,448,4,6,19,136,0,123,1416,512,0,119,0,7,261,20,146,42,0,1,204,1723,0,346,79,694,17,2,0,0,2910,4,134,435,159,266,792,395,0,504,0,1038,5046,489,0,0,2,3231,0,775,0,522,153,1129,0,0,45,1565,36,2862
1989,87,260,36,50,0,7,186,5,0,0,0,0,0,0,2,18,0,5,0,166,6,0,13,7,2,0,7,0,126,2,0,0,0,36,2,0,0,0,73,1,0,10,8,3,1,0,10,10,47,0,0,76,0,0,2,0,0,0,0,573,0,7,0,9,49,5,0,975,10,0,0,0,0,0,0,0,0,1368,1624,15,38,0,2,9,4,0,0,3,2,272,31,47,1,24,199,186,61,0,238,40,0,2,322,1,0,119,220,0,401,0,463,224,333,0,0,50,198,196,0,1995,0,815,3006,2,73,105,58,798,34,289,97,1851,0,1205,0,167,125,152,36,19,848,125,0,20,10,37,1,109,692,0,40,350,983,5553,1007,213,59,6770,1294,746,7,12,26,8,81,0,169,0,0,71,0,54,0,1719,14,414,0,3,21,124,1,135,1526,419,0,102,0,11,300,33,166,42,0,0,221,2079,0,367,65,756,13,4,0,0,3317,4,109,644,231,283,904,298,0,573,0,1145,5872,522,0,0,0,3238,0,798,0,479,102,1340,0,1,50,1523,85,2321
1990,88,440,82,36,0,10,210,0,0,0,0,0,0,0,2,2,0,10,1,231,13,0,11,0,7,22,12,0,109,1,4,0,0,32,6,0,5,0,62,1,0,12,5,4,0,0,0,15,51,0,0,72,0,0,0,2,1,0,0,518,0,19,7,10,73,3,2,2489,104,1,0,0,0,0,2,0,2,1408,1944,16,28,0,4,2,8,0,0,0,0,247,39,34,1,36,166,224,72,1,253,54,0,6,309,4,2,128,267,0,431,0,467,254,347,0,0,47,152,230,1,2001,0,1031,3777,1,46,78,26,731,63,167,111,1861,0,972,0,204,90,142,31,24,861,134,1,14,7,28,4,111,722,0,44,237,1110,6121,1115,221,70,8199,1434,826,6,8,24,8,83,0,163,0,0,48,0,80,0,1842,10,432,3,0,19,125,0,120,1567,476,2,110,0,10,285,33,192,41,0,0,222,1726,0,366,67,783,20,2,0,0,3591,2,116,619,267,255,1032,299,0,458,0,1297,6329,567,0,0,0,3399,0,761,1,553,139,1498,0,0,23,1663,21,2585
1991,88,630,67,49,0,8,254,0,0,0,0,0,0,0,0,3,0,2,0,321,5,0,14,8,0,23,12,1,135,0,0,0,0,38,1,0,0,0,37,1,0,20,6,0,2,0,4,14,57,0,0,59,0,0,0,1,2,0,0,580,0,3,8,17,35,2,0,1012,96,4,0,0,0,0,3,0,0,1483,2032,10,45,0,0,6,8,1,0,0,1,312,40,42,0,49,197,192,75,1,201,60,0,5,314,2,3,146,242,0,497,0,523,202,361,0,0,39,237,205,2,2328,0,864,3633,10,49,84,60,672,50,420,78,1736,0,1032,0,185,85,104,36,38,905,150,1,16,6,48,1,114,590,0,53,279,1044,5634,1082,273,48,6626,1293,802,13,16,19,15,77,0,126,0,1,64,0,73,0,1662,18,492,0,2,36,160,2,162,1506,446,1,116,0,4,262,15,184,58,3,0,193,1673,1,357,38,651,10,5,0,0,3093,2,138,413,190,230,948,339,0,526,0,1182,5916,562,0,0,1,2813,0,743,6,521,164,1560,0,0,1,1335,37,2441
1992,87,461,9,36,3,6,203,1,0,0,0,0,0,0,1,3,0,28,0,255,10,0,20,11,1,30,3,0,121,2,7,0,0,30,13,0,0,0,26,7,0,6,7,4,0,0,4,7,52,0,0,45,0,1,1,1,0,0,0,422,0,6,1,4,28,1,0,1033,101,3,0,0,0,0,9,0,1,1105,2055,14,37,0,2,1,8,0,0,1,0,263,38,51,1,42,252,177,73,0,235,48,0,0,276,4,1,138,219,0,457,0,538,232,307,0,2,32,229,267,2,2365,3,891,3437,14,58,69,52,742,65,224,109,1752,0,1020,2,147,144,105,40,49,900,128,0,17,8,38,5,119,598,0,75,342,1168,5643,1162,266,52,6546,1070,768,1,16,19,7,76,0,122,0,0,54,0,80,0,1865,6,441,0,4,37,147,0,161,1428,513,1,154,0,10,315,23,198,49,3,0,193,1774,0,359,54,692,19,3,3,0,3023,4,151,619,222,267,1038,341,0,482,0,1191,5774,415,0,0,1,2451,0,705,0,542,97,1449,1,0,18,1412,109,2404
1993,85,495,55,41,4,1,214,1,0,0,0,0,1,1,0,4,0,27,0,298,5,0,19,8,0,15,11,0,129,4,5,0,1,22,5,0,5,0,46,3,1,4,5,5,2,0,9,8,67,0,0,48,0,0,1,1,2,0,0,442,0,5,1,5,39,2,0,2131,91,2,0,7,0,0,11,0,1,1045,1896,11,23,0,0,4,6,0,0,0,0,266,48,42,3,49,160,151,57,0,226,48,0,1,239,3,0,116,174,0,379,0,462,190,273,0,2,26,248,251,1,2120,1,935,3463,11,67,55,32,777,52,1239,98,1770,0,972,0,148,99,86,28,34,903,187,2,21,14,38,5,102,516,0,38,399,972,4909,1086,234,61,6325,902,792,6,7,17,8,73,0,123,1,6,34,0,73,0,1665,15,391,1,2,43,121,0,123,1322,410,0,115,0,10,303,22,201,27,0,0,184,1618,0,306,72,621,13,6,0,2,3081,0,102,505,273,227,1030,260,0,431,0,858,5710,438,0,0,0,2619,0,645,2,406,140,1394,2,0,5,1669,177,2192
1994,84,700,80,27,0,3,307,1,0,1,0,0,0,0,1,6,0,16,0,155,5,0,36,8,0,4,10,0,88,2,3,0,0,34,1,0,0,0,35,3,1,10,7,3,5,0,9,7,48,0,0,53,0,0,1,0,0,0,0,392,0,7,2,6,25,3,4,1254,112,2,0,1,0,1,20,0,2,857,1496,15,56,0,2,3,5,0,0,0,1,247,38,45,1,54,138,153,49,0,189,35,0,1,238,2,0,135,184,0,349,0,423,242,275,0,0,33,199,281,2,2020,1,788,3120,6,61,68,20,692,23,196,123,1158,0,1010,1,172,84,81,24,34,790,152,0,7,13,37,1,74,482,0,36,254,771,4673,1024,161,37,5062,1168,899,6,11,23,12,106,0,126,0,4,65,0,46,0,1605,14,420,3,1,24,114,0,126,1283,530,0,82,0,17,223,22,184,48,1,1,151,1372,0,212,49,567,18,2,3,0,2417,1,98,415,169,188,870,234,0,371,0,922,5374,339,0,0,1,2257,0,612,10,462,134,1322,4,2,0,1360,81,1824
1995,86,977,118,24,0,2,513,1,0,3,0,0,0,0,3,4,0,28,0,142,7,0,59,21,4,6,20,0,114,1,1,0,0,20,6,0,3,0,50,2,0,10,6,3,1,0,8,9,62,0,0,52,0,3,0,0,3,0,0,456,0,10,7,7,30,2,0,1176,115,3,0,0,0,0,4,0,1,1163,1767,33,66,0,0,1,10,0,0,1,0,267,39,37,0,68,224,211,73,0,212,54,0,2,260,8,1,111,213,0,339,0,506,197,258,0,0,54,274,281,2,2330,0,987,3999,19,76,67,41,813,57,223,85,1275,0,1080,0,200,179,167,35,17,760,147,0,13,10,27,7,124,546,0,70,456,877,5422,1152,170,41,7171,893,967,3,11,23,4,92,0,127,0,3,38,0,74,0,1518,20,437,0,3,20,126,2,122,1280,404,0,103,0,13,323,24,181,34,0,0,209,1688,0,278,56,638,20,0,3,0,2686,0,109,529,196,219,923,281,0,481,0,1017,5690,405,0,0,0,2442,0,823,4,508,105,1158,18,0,48,1772,103,2254
1996,80,1102,113,43,0,6,324,1,0,0,0,0,0,0,0,4,0,30,0,83,10,0,79,16,1,17,13,0,104,2,1,0,0,27,2,0,4,0,17,8,0,8,8,5,0,0,3,10,29,0,0,43,0,0,2,0,2,1,0,427,0,9,2,4,45,1,0,969,224,13,0,0,0,0,10,0,5,961,1514,13,51,0,2,3,1,0,0,0,0,273,45,24,2,63,144,138,43,0,185,39,0,5,232,1,1,163,223,0,253,0,291,184,283,0,0,27,148,313,7,2004,0,757,3703,4,71,86,23,813,33,374,107,1211,0,888,2,199,57,95,12,8,656,115,0,11,5,6,6,80,421,0,56,249,566,4859,933,147,58,5046,985,847,1,5,18,18,89,0,84,0,4,66,0,74,0,1443,9,346,0,1,34,95,3,113,1342,438,0,83,0,23,249,30,174,27,0,1,190,1481,1,202,67,632,15,0,1,0,2406,1,102,369,161,175,698,224,0,433,0,1173,5178,289,0,0,1,2033,0,643,2,511,138,687,3,0,8,1185,71,1944
1997,86,684,12,27,0,11,190,0,0,0,1,1,0,0,3,7,0,12,0,69,8,0,65,8,1,3,16,0,147,4,4,0,0,41,0,0,0,0,33,4,0,8,8,2,1,0,5,7,54,0,0,49,0,0,0,0,1,0,0,492,0,9,0,9,21,1,0,2847,63,6,0,0,0,0,8,0,6,1026,1745,6,32,0,1,9,2,0,0,0,0,281,51,38,0,72,228,168,48,0,202,51,0,2,281,0,0,228,267,0,322,0,394,235,263,0,0,37,132,417,5,2313,0,963,3692,7,69,130,55,787,72,220,73,1445,0,959,0,160,95,156,27,9,742,130,0,4,19,34,3,138,504,0,36,338,706,5090,1021,86,50,6820,856,1095,2,10,27,15,126,0,142,0,1,79,1,89,0,1657,15,408,1,1,21,93,0,100,1692,531,0,95,0,24,259,23,157,37,1,1,158,1572,4,290,59,859,25,3,1,0,2760,0,97,482,207,157,694,235,0,529,2,1226,5655,399,0,0,0,2506,0,697,2,546,117,572,11,0,13,1487,68,1748
1998,83,604,32,45,0,12,200,2,1,0,0,0,0,0,0,11,0,14,0,92,7,0,124,2,1,10,13,0,116,4,1,0,0,20,0,0,0,0,41,0,0,4,6,4,1,0,7,9,61,0,0,62,0,0,1,0,1,1,0,521,0,4,2,5,33,5,0,2288,36,8,0,0,0,0,12,0,3,1028,1854,12,19,0,1,3,0,0,0,1,2,266,37,40,0,86,235,218,63,0,204,40,0,2,218,2,1,159,230,0,293,0,478,201,303,0,1,26,137,273,7,2109,0,891,3517,13,60,87,14,818,43,182,120,1688,0,1158,0,226,86,191,29,12,749,178,0,4,16,35,0,160,481,0,26,335,771,5067,1182,122,56,7212,1211,848,7,14,23,10,83,0,85,0,0,49,0,59,0,1571,22,338,0,1,29,94,0,79,1253,419,0,83,0,10,205,20,168,28,0,0,165,1631,0,265,53,686,16,1,0,0,2695,0,102,435,132,176,843,253,1,480,0,968,5613,336,0,0,1,2288,0,535,5,405,142,499,0,1,3,1330,21,1771
